source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Stem (Reserve),Stem (Stroma),Tgfb1,TGFbR1_R2,0.0015244069269969697,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Stem (Stroma),Stem (Stroma),Tgfb1,TGFbR1_R2,0.0013081254360906658,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
fibroblast,Stem (Stroma),Tgfb1,TGFbR1_R2,0.0010918465286405476,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
fibroblast,Stem (Stroma),Tgfb2,TGFbR1_R2,2.637431170976185e-4,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Stem (Reserve),Stem (Reserve),Tgfb1,ACVR1B_TGFbR2,0.0016145776292334697,0,TGFB1_ACVR1B_TGFBR2,Tgfb1  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Stem (Stroma),Stem (Reserve),Tgfb1,ACVR1B_TGFbR2,0.0013855904302091993,0,TGFB1_ACVR1B_TGFBR2,Tgfb1  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Secretory,Stem (Reserve),Tgfb1,ACVR1B_TGFbR2,7.481042706913513e-4,0.01,TGFB1_ACVR1B_TGFBR2,Tgfb1  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
ER Stress,Stem (Reserve),Tgfb1,ACVR1B_TGFbR2,6.277754571890098e-4,0.03,TGFB1_ACVR1B_TGFBR2,Tgfb1  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
fibroblast,Stem (Reserve),Tgfb1,ACVR1B_TGFbR2,0.0011562323394871325,0,TGFB1_ACVR1B_TGFBR2,Tgfb1  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Stem (Reserve),Stem (Reserve),Tgfb2,ACVR1B_TGFbR2,2.53977977281986e-4,0.02,TGFB2_ACVR1B_TGFBR2,Tgfb2  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
fibroblast,Stem (Reserve),Tgfb2,ACVR1B_TGFbR2,2.7939071701028504e-4,0,TGFB2_ACVR1B_TGFBR2,Tgfb2  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
fibroblast,fibroblast,Tgfb1,ACVR1_TGFbR,0.0028050897616009045,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
fibroblast,Stem (Stroma),Tgfb2,ACVR1_TGFbR,4.6144156151772104e-4,0.01,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
fibroblast,fibroblast,Tgfb2,ACVR1_TGFbR,6.777519212819083e-4,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Stem (Reserve),Stem (Oncogene) 1,Bmp2,BMPR1A_BMPR2,4.261068037235365e-4,0,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Late Absorptive,Stem (Oncogene) 1,Bmp2,BMPR1A_BMPR2,2.041293567044186e-4,0,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Stem (Reserve),Stem (Reserve),Bmp2,BMPR1A_BMPR2,0.0011237528024042273,0,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Late Absorptive,Stem (Reserve),Bmp2,BMPR1A_BMPR2,5.38533002882874e-4,0,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Stem (Oncogene) 1,Stem (Stroma),Bmp8b,ACVR1_BMPR2,5.23429357707315e-4,0,BMP8B_ACVR1_BMPR2,Bmp8b  - (Acvr1+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Transit Amplifying,Stem (Stroma),Bmp8b,ACVR1_BMPR2,2.2997051533052413e-4,0,BMP8B_ACVR1_BMPR2,Bmp8b  - (Acvr1+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Stem (Stroma),Stem (Stroma),Bmp8b,ACVR1_BMPR2,1.0073161532886632e-4,0,BMP8B_ACVR1_BMPR2,Bmp8b  - (Acvr1+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Late Absorptive,Stem (Stroma),Bmp8b,ACVR1_BMPR2,2.3128266258749935e-4,0,BMP8B_ACVR1_BMPR2,Bmp8b  - (Acvr1+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Secretory,Stem (Stroma),Bmp8b,ACVR1_BMPR2,1.4439122311768693e-4,0,BMP8B_ACVR1_BMPR2,Bmp8b  - (Acvr1+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
ER Stress,Stem (Stroma),Bmp8b,ACVR1_BMPR2,2.065600899687828e-4,0,BMP8B_ACVR1_BMPR2,Bmp8b  - (Acvr1+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Stem (Oncogene) 1,fibroblast,Bmp8b,ACVR1_BMPR2,9.15439017724118e-4,0,BMP8B_ACVR1_BMPR2,Bmp8b  - (Acvr1+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
