GeneSymbol,0,1,clust,pathway
2310057N15Rik,-0.23319137,0.014282329,3,['Keratinization']
9130019O22Rik,-0.19472587,0.25490102,3,['Generic Transcription Pathway']
A1bg,0.22317414,-0.19547132,2,"['Platelet degranulation ', 'Neutrophil degranulation']"
A1cf,-0.27040297,0.028372109,3,"['mRNA Editing: C to U Conversion', 'Formation of the Editosome']"
A2m,0.114907525,-0.23781309,2,"['Platelet degranulation ', 'Intrinsic Pathway of Fibrin Clot Formation', 'Degradation of the extracellular matrix', 'HDL assembly']"
A4gnt,-0.123757474,-0.023162374,3,['O-linked glycosylation of mucins']
AK157302,-0.28916082,-0.1390197,3,['Mitochondrial iron-sulfur cluster biogenesis']
AY761185,-0.26981282,-0.019499,3,"['Defensins', 'Alpha-defensins', 'Neutrophil degranulation']"
Aaas,0.2918705,0.25104538,1,"['Transport of the SLBP independent Mature mRNA', 'Transport of the SLBP Dependant Mature mRNA', 'Transport of Mature mRNA Derived from an Intronless Transcript', 'Transport of Mature mRNA derived from an Intron-Containing Transcript', 'Regulation of Glucokinase by Glucokinase Regulatory Protein', 'snRNP Assembly', 'SUMOylation of DNA damage response and repair proteins', 'SUMOylation of ubiquitinylation proteins', 'Nuclear Pore Complex (NPC) Disassembly', 'Regulation of HSF1-mediated heat shock response', 'SUMOylation of SUMOylation proteins', 'SUMOylation of chromatin organization proteins', 'SUMOylation of RNA binding proteins', 'SUMOylation of DNA replication proteins', 'Transcriptional regulation by small RNAs', 'RHOA GTPase cycle']"
Aacs,-0.2532088,0.29107368,0,['Synthesis of Ketone Bodies']
Aadac,-0.38213807,-0.03762119,3,['Phase I - Functionalization of compounds']
Aadat,-0.10235826,0.0016924478,0,"['Lysine catabolism', 'Tryptophan catabolism']"
Aak1,0.102457754,-0.14022051,2,"['Cargo recognition for clathrin-mediated endocytosis', 'Clathrin-mediated endocytosis']"
Aamp,0.3281981,0.14747114,0,"['NOD1/2 Signaling Pathway', 'Signaling by EGFR', 'Thromboxane signalling through TP receptor']"
Aanat,0.0056335567,-0.17660636,2,['Serotonin and melatonin biosynthesis']
Aasdhppt,-0.09360191,0.30707386,3,['Vitamin B5 (pantothenate) metabolism']
Aass,-0.3801682,0.0542327,3,['Lysine catabolism']
Abat,-0.18538262,-0.009355376,0,['Degradation of GABA']
Abca1,0.033264562,-0.30987167,2,"['HDL assembly', 'NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux']"
Abca12,-0.32514888,0.15978174,3,['ABC transporters in lipid homeostasis']
Abca13,-0.27217072,-0.067580484,3,['Neutrophil degranulation']
Abca3,-0.095652476,-0.010297132,3,"['ABC transporters in lipid homeostasis', 'Surfactant metabolism']"
Abca4,-0.143765,0.13730131,3,"['The canonical retinoid cycle in rods (twilight vision)', 'ABC-family proteins mediated transport']"
Abca5,-0.21110398,-0.0523156,3,['ABC transporters in lipid homeostasis']
Abca6,-0.08519032,-0.07304988,3,['ABC transporters in lipid homeostasis']
Abca7,0.05918053,-0.21128179,2,['ABC transporters in lipid homeostasis']
Abca8b,-0.32239956,-0.14447345,3,['ABC-family proteins mediated transport']
Abcb11,-0.12183044,-0.1218892,3,"['Recycling of bile acids and salts', 'Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol']"
Abcb1a,0.2653953,-0.10824152,2,"['ABC-family proteins mediated transport', 'Atorvastatin ADME']"
Abcb4,-0.1612701,-0.10087274,3,['ABC-family proteins mediated transport']
Abcb6,-0.014110707,0.012820299,0,['Mitochondrial ABC transporters']
Abcb7,-0.091013156,0.1974877,0,['Mitochondrial ABC transporters']
Abcb8,-0.159421,-0.12989388,3,['Mitochondrial ABC transporters']
Abcb9,-0.068002686,0.057424437,3,['ABC-family proteins mediated transport']
Abcc1,-0.19420663,-0.21223633,3,"['Heme degradation', 'Synthesis of Leukotrienes (LT) and Eoxins (EX)', 'ABC-family proteins mediated transport', 'Cytoprotection by HMOX1', 'Paracetamol ADME', 'Transport of RCbl within the body']"
Abcc2,-0.11225976,-0.13566597,3,"['Heme degradation', 'ABC-family proteins mediated transport', 'Aspirin ADME', 'Paracetamol ADME', 'Atorvastatin ADME']"
Abcc3,-0.19519556,-0.17520869,3,"['Recycling of bile acids and salts', 'ABC-family proteins mediated transport', 'Aspirin ADME', 'Paracetamol ADME']"
Abcc4,-0.08598839,-0.07188934,3,"['Platelet degranulation ', 'ABC-family proteins mediated transport', 'Azathioprine ADME', 'Paracetamol ADME']"
Abcc5,-0.09575599,0.14612776,0,"['Hyaluronan biosynthesis and export', 'ABC-family proteins mediated transport', 'Azathioprine ADME', 'Paracetamol ADME']"
Abcc6,-0.07663614,-0.01043508,0,['ABC-family proteins mediated transport']
Abcc8,-0.023991661,-0.18775402,2,"['ATP sensitive Potassium channels', 'Regulation of insulin secretion']"
